Ri,Zj,Rhoij
-4.193548,-11.746032,0.000032
-4.193548,-11.111111,0.000071
-4.193548,-10.476190,0.000148
-4.193548,-9.841270,0.000376
-4.193548,-9.206349,0.001258
-4.193548,-8.571429,0.004516
-4.193548,-7.936508,0.014062
-4.193548,-7.301587,0.034668
-4.193548,-6.666667,0.066727
-4.193548,-6.031746,0.102211
-4.193548,-5.396825,0.129515
-4.193548,-4.761905,0.143509
-4.193548,-4.126984,0.147981
-4.193548,-3.492063,0.148810
-4.193548,-2.857143,0.148884
-4.193548,-2.222222,0.149022
-4.193548,-1.587302,0.149520
-4.193548,-0.952381,0.150135
-4.193548,-0.317460,0.150380
-4.193548,0.317460,0.150084
-4.193548,0.952381,0.149380
-4.193548,1.587302,0.148564
-4.193548,2.222222,0.148049
-4.193548,2.857143,0.148025
-4.193548,3.492063,0.148155
-4.193548,4.126984,0.147342
-4.193548,4.761905,0.142734
-4.193548,5.396825,0.129344
-4.193548,6.031746,0.103853
-4.193548,6.666667,0.070172
-4.193548,7.301587,0.038392
-4.193548,7.936508,0.016644
-4.193548,8.571429,0.005753
-4.193548,9.206349,0.001696
-4.193548,9.841270,0.000508
-4.193548,10.476190,0.000189
-4.193548,11.111111,0.000089
-4.193548,11.746032,0.000043
-4.193548,12.380952,0.000018
-4.193548,13.015873,0.000007
-4.193548,13.650794,0.000004
-4.193548,14.285714,0.000003
-4.193548,14.920635,0.000002
-4.193548,15.555556,0.000001
-4.193548,16.190476,0.000000
-4.193548,16.825397,0.000000
-4.193548,17.460317,0.000000
-4.193548,18.095238,0.000000
-4.193548,18.730159,0.000000
-4.193548,19.365079,0.000000
-4.193548,20.000000,0.000000
-3.548387,-20.000000,0.000000
-3.548387,-19.365079,0.000000
-3.548387,-18.730159,0.000000
-3.548387,-18.095238,0.000000
-3.548387,-17.460317,0.000000
-3.548387,-16.825397,0.000000
-3.548387,-16.190476,0.000001
-3.548387,-15.555556,0.000002
-3.548387,-14.920635,0.000004
-3.548387,-14.285714,0.000006
-3.548387,-13.650794,0.000006
-3.548387,-13.015873,0.000007
-3.548387,-12.380952,0.000014
-3.548387,-11.746032,0.000039
-3.548387,-11.111111,0.000087
-3.548387,-10.476190,0.000197
-3.548387,-9.841270,0.000579
-3.548387,-9.206349,0.002133
-3.548387,-8.571429,0.007702
-3.548387,-7.936508,0.022703
-3.548387,-7.301587,0.051427
-3.548387,-6.666667,0.089634
-3.548387,-6.031746,0.123805
-3.548387,-5.396825,0.142951
-3.548387,-4.761905,0.148767
-3.548387,-4.126984,0.149878
-3.548387,-3.492063,0.150826
-3.548387,-2.857143,0.151373
-3.548387,-2.222222,0.151356
-3.548387,-1.587302,0.151389
-3.548387,-0.952381,0.151497
-3.548387,-0.317460,0.151429
-3.548387,0.317460,0.151217
-3.548387,0.952381,0.150957
-3.548387,1.587302,0.150700
-3.548387,2.222222,0.150528
-3.548387,2.857143,0.150374
-3.548387,3.492063,0.150013
-3.548387,4.126984,0.149637
-3.548387,4.761905,0.149033
-3.548387,5.396825,0.144219
-3.548387,6.031746,0.127553
-3.548387,6.666667,0.096164
-3.548387,7.301587,0.058552
-3.548387,7.936508,0.027865
-3.548387,8.571429,0.010280
-3.548387,9.206349,0.003058
-3.548387,9.841270,0.000843
-3.548387,10.476190,0.000272
-3.548387,11.111111,0.000114
-3.548387,11.746032,0.000053
-3.548387,12.380952,0.000022
-3.548387,13.015873,0.000009
-3.548387,13.650794,0.000006
